phone_number,source_channel,budget_range,conversion_probability,segment
6096807769,social_media,60L-90L,0.0437,cold
7251091340,organic_search,<30L,0.0018,cold
9747026045,paid_search,90L-1.5Cr,0.0055,cold
9492102051,organic_search,60L-90L,0.0187,cold
8472644794,organic_search,60L-90L,0.9379,hot
6735633929,referral,90L-1.5Cr,0.0005,cold
9534210298,organic_search,30L-60L,0.0104,cold
7673904995,paid_search,90L-1.5Cr,0.0406,cold
7560985318,organic_search,60L-90L,0.9899,hot
8225745092,paid_search,<30L,0.0014,cold
6484958635,paid_search,90L-1.5Cr,0.007,cold
6799572512,referral,30L-60L,0.0002,cold
8191020773,paid_search,30L-60L,0.992,hot
9894258521,paid_search,30L-60L,0.003,cold
6707806473,organic_search,30L-60L,0.0012,cold
9891995373,referral,30L-60L,0.0015,cold
7188954915,social_media,60L-90L,0.0044,cold
9563566010,social_media,90L-1.5Cr,0.0371,cold
7559529405,social_media,60L-90L,0.001,cold
6498046496,email_campaign,30L-60L,0.009,cold
7922862034,referral,30L-60L,0.0031,cold
8955406179,paid_search,90L-1.5Cr,0.4501,warm
8272501650,referral,30L-60L,0.6468,warm
8394164850,referral,30L-60L,0.0004,cold
7780089012,organic_search,60L-90L,0.0092,cold
6135808761,referral,30L-60L,0.0105,cold
9378135649,referral,30L-60L,0.9961,hot
9835615734,paid_search,30L-60L,0.0061,cold
7517613489,social_media,<30L,0.001,cold
8596178053,paid_search,90L-1.5Cr,0.003,cold
8318726652,organic_search,30L-60L,0.0048,cold
7894988578,paid_search,30L-60L,0.3416,cold
7579920019,organic_search,30L-60L,0.0135,cold
9537876191,organic_search,30L-60L,0.0091,cold
6818644571,organic_search,>1.5Cr,0.0033,cold
6218275057,organic_search,30L-60L,0.0259,cold
6237944799,paid_search,60L-90L,0.0006,cold
9788631656,email_campaign,60L-90L,0.0015,cold
9268456955,organic_search,90L-1.5Cr,0.0359,cold
6264945582,organic_search,60L-90L,0.0258,cold
6912078982,paid_search,90L-1.5Cr,0.0074,cold
7269805862,organic_search,60L-90L,0.0309,cold
6306371717,social_media,30L-60L,0.0486,cold
8316629017,organic_search,>1.5Cr,0.0048,cold
9225004960,social_media,30L-60L,0.0117,cold
9396737086,referral,30L-60L,0.0046,cold
9823711018,direct,90L-1.5Cr,0.1315,cold
6498954205,organic_search,60L-90L,0.469,warm
8367884569,referral,60L-90L,0.9847,hot
8260506590,organic_search,30L-60L,0.418,warm
7555730270,organic_search,60L-90L,0.014,cold
6782411152,organic_search,>1.5Cr,0.1528,cold
9691750813,paid_search,30L-60L,0.0013,cold
9133995663,paid_search,60L-90L,0.0109,cold
6165110314,social_media,30L-60L,0.0005,cold
7834008421,organic_search,90L-1.5Cr,0.0956,cold
9397952910,organic_search,90L-1.5Cr,0.0077,cold
8955520654,direct,30L-60L,1e-04,cold
9698235049,email_campaign,90L-1.5Cr,0.0081,cold
6112105608,paid_search,30L-60L,0.0008,cold
9079309125,referral,60L-90L,0.02,cold
7658525116,organic_search,60L-90L,0.0045,cold
7659146142,paid_search,<30L,0.0241,cold
6934881470,social_media,30L-60L,0.2472,cold
7568448563,direct,60L-90L,0.004,cold
8338051562,email_campaign,30L-60L,0.9839,hot
9475938280,organic_search,>1.5Cr,0.0015,cold
9258695159,organic_search,30L-60L,0.0006,cold
7882627724,social_media,>1.5Cr,0.0375,cold
8296250386,paid_search,30L-60L,0.9266,hot
7691768569,referral,60L-90L,0.0041,cold
6834448076,direct,30L-60L,0.0051,cold
8265592335,social_media,30L-60L,0.0108,cold
7865893075,organic_search,60L-90L,0.0149,cold
8545662977,paid_search,60L-90L,0.047,cold
8262142860,paid_search,30L-60L,0.0262,cold
6851609074,organic_search,60L-90L,0.0188,cold
9877682654,organic_search,60L-90L,0.0222,cold
9354459613,social_media,90L-1.5Cr,0.0066,cold
6404966395,direct,90L-1.5Cr,0.0042,cold
7819410615,organic_search,<30L,0.0018,cold
9436476470,organic_search,>1.5Cr,0.0068,cold
8505450364,direct,90L-1.5Cr,0.0409,cold
9412713267,email_campaign,30L-60L,0.0003,cold
6804981401,email_campaign,90L-1.5Cr,0.0019,cold
7977130056,social_media,<30L,0.0063,cold
7698940845,social_media,90L-1.5Cr,0.0015,cold
7798364127,social_media,30L-60L,0.9973,hot
6742727472,email_campaign,60L-90L,0.0759,cold
8863903957,organic_search,>1.5Cr,0.0095,cold
6286756200,referral,30L-60L,0.0022,cold
9968838658,paid_search,30L-60L,0.9847,hot
8360194852,email_campaign,<30L,0.9999,hot
6370923322,organic_search,90L-1.5Cr,0.044,cold
8514737875,social_media,30L-60L,0.0012,cold
6672798211,paid_search,30L-60L,0.003,cold
6574835123,organic_search,<30L,0.1626,cold
8553974510,social_media,30L-60L,0.0052,cold
7168874780,referral,>1.5Cr,0.0956,cold
8478051740,paid_search,60L-90L,0.015,cold
6583565375,organic_search,>1.5Cr,0.9778,hot
9336600512,direct,60L-90L,0.0282,cold
6064698079,social_media,60L-90L,0.0112,cold
7673680246,paid_search,>1.5Cr,0.0238,cold
7050311061,email_campaign,30L-60L,0.3257,cold
9047766770,social_media,90L-1.5Cr,0.0094,cold
6682682812,social_media,30L-60L,0.0034,cold
9056052611,email_campaign,90L-1.5Cr,0.9558,hot
6945848093,email_campaign,60L-90L,0.0089,cold
9651934469,email_campaign,30L-60L,0.004,cold
7379350335,organic_search,30L-60L,0.0127,cold
9977895185,email_campaign,30L-60L,0.024,cold
6463334736,referral,90L-1.5Cr,0.0826,cold
6982333646,email_campaign,30L-60L,0.0339,cold
6480124540,direct,<30L,0.1086,cold
6078116989,direct,60L-90L,0.0253,cold
9975703931,referral,>1.5Cr,0.9603,hot
7488374253,direct,90L-1.5Cr,0.0005,cold
9403332294,organic_search,<30L,0.0979,cold
7944549980,organic_search,30L-60L,0.0048,cold
7690600494,organic_search,60L-90L,0.0084,cold
9565710623,organic_search,30L-60L,0.8374,hot
7136607379,email_campaign,30L-60L,0.025,cold
8640473474,organic_search,90L-1.5Cr,0.9919,hot
6387275928,email_campaign,>1.5Cr,0.1943,cold
8046760338,social_media,60L-90L,0.9964,hot
6140035149,social_media,60L-90L,0.0143,cold
7967697874,paid_search,<30L,0.0025,cold
8913195904,paid_search,30L-60L,0.0346,cold
9399277658,organic_search,30L-60L,0.0386,cold
7152602203,organic_search,30L-60L,0.0007,cold
6220217995,email_campaign,>1.5Cr,0.2283,cold
6308864682,social_media,30L-60L,0.0354,cold
6675681421,direct,60L-90L,0.0132,cold
6530810290,direct,90L-1.5Cr,0.0035,cold
7375816018,social_media,30L-60L,0.9898,hot
6552837350,email_campaign,<30L,0.0037,cold
6877889845,paid_search,30L-60L,0.003,cold
8833775324,social_media,90L-1.5Cr,0.0012,cold
7312418740,direct,30L-60L,0.0972,cold
9688172435,email_campaign,60L-90L,0.0022,cold
8521930049,social_media,30L-60L,0.0029,cold
9819838979,paid_search,90L-1.5Cr,0.0015,cold
9659253466,paid_search,30L-60L,0.9881,hot
6734912667,referral,60L-90L,0.0036,cold
8666497130,organic_search,30L-60L,0.0068,cold
9467314633,email_campaign,>1.5Cr,0.0249,cold
6887950428,social_media,>1.5Cr,0.9982,hot
7173633793,organic_search,>1.5Cr,0.0021,cold
9725903440,paid_search,>1.5Cr,0.1005,cold
7528212528,direct,60L-90L,0.0073,cold
8405398228,social_media,30L-60L,0.9794,hot
9373770597,referral,90L-1.5Cr,0.9887,hot
6751196850,organic_search,60L-90L,0.0358,cold
6226656479,paid_search,90L-1.5Cr,0.1012,cold
9448524089,organic_search,30L-60L,0.0181,cold
6220148265,organic_search,60L-90L,0.004,cold
6301960535,direct,90L-1.5Cr,0.0629,cold
6770381050,social_media,30L-60L,0.0083,cold
8828016193,organic_search,60L-90L,0.0011,cold
6465364661,organic_search,90L-1.5Cr,0.6956,warm
7781942918,paid_search,>1.5Cr,0.041,cold
7249009573,organic_search,90L-1.5Cr,0.0056,cold
7492058973,email_campaign,30L-60L,0.0163,cold
6909140579,referral,>1.5Cr,0.0012,cold
9951932855,direct,30L-60L,0.0059,cold
6793337609,paid_search,30L-60L,0.0028,cold
8306158443,organic_search,30L-60L,0.0033,cold
7953250460,organic_search,30L-60L,0.001,cold
7142356126,referral,<30L,0.0131,cold
8594751880,direct,30L-60L,0.0028,cold
8950747295,paid_search,60L-90L,0.0011,cold
6212988760,organic_search,60L-90L,0.0146,cold
7528245086,paid_search,90L-1.5Cr,0.9891,hot
7318761178,direct,30L-60L,0.0042,cold
9521841457,paid_search,60L-90L,0.995,hot
7057897106,email_campaign,30L-60L,0.0015,cold
6131568554,direct,>1.5Cr,0.0143,cold
6023582347,organic_search,<30L,0.0334,cold
9972434375,paid_search,>1.5Cr,0.1102,cold
8583594895,organic_search,90L-1.5Cr,0.002,cold
6307396580,paid_search,30L-60L,0.0518,cold
8238603556,organic_search,30L-60L,0.9601,hot
6895474478,organic_search,90L-1.5Cr,0.0269,cold
8461372692,organic_search,60L-90L,0.9214,hot
6353319111,organic_search,30L-60L,0.9972,hot
9938043450,email_campaign,>1.5Cr,0.014,cold
6150867757,social_media,60L-90L,0.0401,cold
9684777389,organic_search,90L-1.5Cr,0.0573,cold
8674126930,organic_search,30L-60L,0.0011,cold
9822680015,referral,<30L,0.0125,cold
8078706637,organic_search,30L-60L,0.0109,cold
6043320479,referral,>1.5Cr,0.0282,cold
6992880123,organic_search,30L-60L,0.0004,cold
7505549899,paid_search,30L-60L,0.0051,cold
7311147857,social_media,60L-90L,0.0156,cold
7020002136,social_media,90L-1.5Cr,0.0044,cold
7451649331,direct,>1.5Cr,0.9975,hot
9210287894,paid_search,90L-1.5Cr,0.0353,cold
9426072393,paid_search,30L-60L,0.007,cold
6267740074,email_campaign,30L-60L,0.1058,cold
8253668115,direct,>1.5Cr,0.039,cold
8848838749,paid_search,30L-60L,0.9411,hot
7806959399,referral,60L-90L,0.0022,cold
7676980957,social_media,30L-60L,0.0296,cold
6366391937,social_media,90L-1.5Cr,0.0003,cold
8871735449,direct,<30L,0.0031,cold
9009029197,social_media,30L-60L,0.0048,cold
7004345011,organic_search,60L-90L,0.0301,cold
9524542111,referral,30L-60L,0.0602,cold
9952970510,social_media,90L-1.5Cr,0.0047,cold
8608368173,organic_search,30L-60L,0.0003,cold
6319644014,direct,60L-90L,0.0114,cold
6679286939,referral,30L-60L,0.0306,cold
7045884257,social_media,30L-60L,0.0032,cold
8867345374,social_media,60L-90L,0.0013,cold
8649945978,paid_search,90L-1.5Cr,0.3538,cold
6834370332,paid_search,90L-1.5Cr,0.9682,hot
9995829089,referral,60L-90L,0.7969,hot
8970334430,organic_search,<30L,0.0007,cold
8043763257,email_campaign,90L-1.5Cr,0.0417,cold
6689055198,referral,90L-1.5Cr,0.0345,cold
7133099604,referral,90L-1.5Cr,0.0023,cold
9432849630,paid_search,30L-60L,0.9989,hot
7026044204,paid_search,30L-60L,0.0002,cold
9204653522,direct,30L-60L,0.0013,cold
7243218183,organic_search,30L-60L,0.0077,cold
9245959665,social_media,60L-90L,0.0068,cold
9122906378,paid_search,>1.5Cr,0.0224,cold
6198426554,social_media,60L-90L,0.0088,cold
7463531134,social_media,90L-1.5Cr,0.0032,cold
9033749376,organic_search,>1.5Cr,1e-04,cold
6971825649,direct,60L-90L,1e-04,cold
6372460023,email_campaign,60L-90L,0.0256,cold
9703101049,organic_search,90L-1.5Cr,0.0146,cold
8797454509,paid_search,60L-90L,0.0084,cold
9448485070,social_media,60L-90L,0.0366,cold
8403771890,social_media,30L-60L,0.9646,hot
6961878863,paid_search,30L-60L,0.0346,cold
6028456262,social_media,30L-60L,0.0166,cold
6338380717,paid_search,60L-90L,0.002,cold
9649465579,organic_search,60L-90L,0.0003,cold
8247783436,social_media,<30L,0.8853,hot
9127276100,paid_search,90L-1.5Cr,0.0044,cold
8286707775,social_media,>1.5Cr,0.002,cold
9973988835,organic_search,30L-60L,0.0011,cold
9678532257,organic_search,30L-60L,0.001,cold
9572550508,organic_search,30L-60L,0.0807,cold
9511855077,email_campaign,90L-1.5Cr,0.1303,cold
7827961131,paid_search,60L-90L,0.0041,cold
6391387476,paid_search,90L-1.5Cr,0.0012,cold
6677447551,social_media,30L-60L,0.9151,hot
8158814642,social_media,30L-60L,0.0081,cold
7077330879,email_campaign,60L-90L,0.0079,cold
9059333764,organic_search,60L-90L,0.0219,cold
6755812576,organic_search,60L-90L,0.0413,cold
8344795414,referral,>1.5Cr,0.0132,cold
9379179566,paid_search,60L-90L,0.0495,cold
7059776779,social_media,60L-90L,0.0135,cold
7656229295,social_media,60L-90L,0.2511,cold
9266228622,paid_search,<30L,0.9999,hot
8910353381,paid_search,30L-60L,0.9935,hot
8941438521,organic_search,60L-90L,0.1697,cold
8751030479,social_media,60L-90L,0.9777,hot
9235228202,direct,30L-60L,0.0072,cold
7221615771,organic_search,60L-90L,0.0018,cold
8576920353,organic_search,>1.5Cr,0.9861,hot
6716617554,social_media,90L-1.5Cr,0.0246,cold
9343005763,email_campaign,30L-60L,0.0235,cold
7443848384,direct,60L-90L,0.0067,cold
9564430665,organic_search,60L-90L,0.0352,cold
8742322835,social_media,60L-90L,0.0296,cold
6391042822,email_campaign,60L-90L,0.9995,hot
6344858721,referral,30L-60L,0.9997,hot
9723484561,referral,30L-60L,0.0023,cold
6926402884,organic_search,30L-60L,0.0217,cold
7725621040,direct,60L-90L,0.0322,cold
6715659256,direct,30L-60L,0.0512,cold
9502157533,organic_search,60L-90L,0.0474,cold
7910827605,social_media,60L-90L,0.001,cold
6850208313,email_campaign,30L-60L,0.016,cold
6277515360,organic_search,60L-90L,0.0067,cold
7088730102,organic_search,30L-60L,0.9993,hot
7780351565,paid_search,90L-1.5Cr,0.0052,cold
9344280511,social_media,30L-60L,0.0191,cold
7540564256,organic_search,30L-60L,0.0035,cold
9508603412,direct,90L-1.5Cr,0.0157,cold
6789532717,paid_search,60L-90L,0.8639,hot
9288533094,social_media,60L-90L,0.0169,cold
8763517231,paid_search,<30L,0.0173,cold
8384674032,social_media,60L-90L,0.0128,cold
8151848948,referral,>1.5Cr,0.9917,hot
7388102973,organic_search,>1.5Cr,0.9447,hot
8803965325,email_campaign,30L-60L,0.9306,hot
8431122650,paid_search,60L-90L,0.0018,cold
8243800473,referral,60L-90L,0.9843,hot
7280021749,paid_search,60L-90L,0.0017,cold
7940951000,social_media,60L-90L,0.81,hot
6224281966,paid_search,90L-1.5Cr,0.9932,hot
7515390013,organic_search,60L-90L,0.025,cold
7740527515,paid_search,90L-1.5Cr,0.0294,cold
7149215563,referral,60L-90L,0.0098,cold
8305090121,referral,60L-90L,0.0002,cold
6665149570,organic_search,60L-90L,0.0023,cold
6111924982,paid_search,30L-60L,0.9708,hot
7466739493,referral,60L-90L,0.4203,warm
8436281075,direct,30L-60L,0.0012,cold
7759238039,social_media,90L-1.5Cr,0.0008,cold
8310677567,social_media,30L-60L,0.0269,cold
8435255527,direct,90L-1.5Cr,0.001,cold
8234254793,social_media,30L-60L,0.0012,cold
8437275392,email_campaign,<30L,0.0012,cold
6201879324,email_campaign,60L-90L,0.065,cold
6164627375,paid_search,60L-90L,0.0046,cold
9305832553,organic_search,30L-60L,0.0006,cold
7725393130,paid_search,60L-90L,0.0026,cold
8935396277,social_media,60L-90L,0.1646,cold
9951931884,social_media,30L-60L,0.001,cold
7376844481,direct,30L-60L,0.0119,cold
6177247981,social_media,30L-60L,0.0004,cold
6999886594,social_media,60L-90L,0.0231,cold
6881996480,organic_search,>1.5Cr,0.0074,cold
6213637419,organic_search,60L-90L,0.0507,cold
9991925310,email_campaign,60L-90L,0.0122,cold
8567865491,social_media,60L-90L,0.0019,cold
6956322215,referral,90L-1.5Cr,0.003,cold
9146162760,organic_search,30L-60L,0.0014,cold
6767038597,organic_search,30L-60L,0.389,cold
7035432189,organic_search,>1.5Cr,0.0297,cold
6088415943,email_campaign,<30L,0.0376,cold
8718186327,paid_search,60L-90L,0.9338,hot
8861250765,referral,60L-90L,0.0746,cold
9510038226,social_media,90L-1.5Cr,0.0106,cold
9555536615,social_media,60L-90L,0.9562,hot
9299787336,paid_search,60L-90L,0.9767,hot
7786088911,paid_search,30L-60L,0.0028,cold
6637649370,direct,30L-60L,0.0157,cold
8177067623,organic_search,30L-60L,0.0033,cold
6602425816,social_media,60L-90L,0.0005,cold
9280186274,direct,30L-60L,0.0429,cold
7365635969,direct,60L-90L,0.0021,cold
7769116659,referral,90L-1.5Cr,0.9733,hot
7353057527,social_media,60L-90L,0.0021,cold
9429377031,paid_search,90L-1.5Cr,0.0052,cold
6074756990,direct,30L-60L,0.0074,cold
7484081395,direct,90L-1.5Cr,0.0008,cold
6391771888,direct,60L-90L,0.0039,cold
6889576018,email_campaign,30L-60L,0.01,cold
6873810965,social_media,30L-60L,0.0155,cold
8298356892,organic_search,60L-90L,0.7839,hot
7798553768,organic_search,30L-60L,0.0032,cold
8970103627,organic_search,30L-60L,0.0108,cold
9167198973,paid_search,>1.5Cr,0.9327,hot
7592137424,organic_search,30L-60L,0.0022,cold
8557085203,social_media,60L-90L,0.0085,cold
6179965329,referral,90L-1.5Cr,0.0154,cold
9956805739,paid_search,30L-60L,0.0031,cold
6825332907,referral,30L-60L,0.0034,cold
8400026856,referral,90L-1.5Cr,0.9941,hot
8207231721,referral,60L-90L,0.0271,cold
9915109114,social_media,60L-90L,0.0028,cold
8645861111,paid_search,60L-90L,0.0044,cold
8966634672,email_campaign,30L-60L,0.9779,hot
6998416823,organic_search,90L-1.5Cr,0.9992,hot
9505747038,paid_search,30L-60L,0.9823,hot
7228822504,paid_search,90L-1.5Cr,0.8911,hot
8913557735,organic_search,60L-90L,0.4752,warm
7226553315,social_media,90L-1.5Cr,0.2355,cold
9865411588,social_media,30L-60L,0.0052,cold
9834178932,paid_search,60L-90L,0.0005,cold
9419363574,organic_search,<30L,0.0032,cold
8949238888,paid_search,30L-60L,0.0022,cold
6536227642,paid_search,60L-90L,0.9985,hot
7295320203,referral,90L-1.5Cr,0.0152,cold
6591857691,direct,<30L,0.9938,hot
9214601179,direct,90L-1.5Cr,0.8478,hot
8493494499,social_media,<30L,0.0013,cold
9341686017,organic_search,60L-90L,0.0098,cold
7000207783,social_media,30L-60L,0.061,cold
9031019540,organic_search,30L-60L,0.0013,cold
6748267051,paid_search,90L-1.5Cr,0.0524,cold
6691036035,paid_search,90L-1.5Cr,0.015,cold
9637845974,email_campaign,30L-60L,0.0041,cold
7817488928,organic_search,>1.5Cr,0.2843,cold
9294698758,social_media,60L-90L,0.004,cold
8505633240,referral,60L-90L,0.0147,cold
8680153449,social_media,60L-90L,0.0597,cold
6879522179,organic_search,60L-90L,0.5673,warm
7377112140,social_media,30L-60L,0.0015,cold
8144040283,organic_search,30L-60L,0.0036,cold
7146032359,paid_search,30L-60L,0.0116,cold
9208813301,social_media,90L-1.5Cr,0.0192,cold
9279021650,paid_search,<30L,0.0023,cold
9640215421,email_campaign,30L-60L,0.3128,cold
8961066297,paid_search,>1.5Cr,0.9948,hot
7586522455,social_media,30L-60L,0.0002,cold
9189113162,social_media,30L-60L,0.0336,cold
6381714518,paid_search,60L-90L,0.0221,cold
6860944160,referral,60L-90L,0.0565,cold
6997753372,social_media,<30L,0.0246,cold
8811781556,direct,30L-60L,0.0306,cold
8492421345,social_media,90L-1.5Cr,0.0013,cold
6107598821,social_media,60L-90L,0.0043,cold
6495213255,paid_search,60L-90L,0.1015,cold
8785928438,direct,60L-90L,0.0213,cold
8791201054,organic_search,30L-60L,0.2406,cold
6879274941,direct,30L-60L,0.007,cold
9710219135,paid_search,30L-60L,0.0205,cold
6852338334,organic_search,90L-1.5Cr,0.0759,cold
8657795140,social_media,30L-60L,0.1893,cold
9760937853,paid_search,60L-90L,0.0457,cold
6226294938,direct,30L-60L,0.0885,cold
7532955198,organic_search,30L-60L,0.5711,warm
7569851381,social_media,30L-60L,0.0026,cold
9663505400,direct,<30L,0.02,cold
9036531678,organic_search,90L-1.5Cr,0.0218,cold
7947086617,paid_search,30L-60L,0.0286,cold
6121913361,organic_search,60L-90L,0.1125,cold
6575162875,direct,90L-1.5Cr,0.0046,cold
7890212123,direct,30L-60L,0.0002,cold
6188055851,referral,>1.5Cr,0.0086,cold
6021194464,organic_search,60L-90L,0.9989,hot
8577892820,organic_search,90L-1.5Cr,0.0027,cold
